name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,revenue_per_copy
Viking Rise: Valhalla,2024-05-21,20537,0.0,259513.0,36.62029672226122,75,Indie,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,2819520,12.636363636363637
LONESTAR,2024-01-18,36933,9.99,259157.0,20.516837545390125,0,Indie,Thermite Games,Math Tide,2056210,7.016949611458587
Yohane the Parhelion - NUMAZU in the MIRAGE -,2024-02-21,10048,29.99,258574.0,11.459016872346174,93,Indie,BeXide Inc.,BeXide Inc.,2459750,25.73387738853503
Revue Starlight El Dorado,2024-08-07,9499,29.99,256387.0,5.427033571710683,98,Indie,Bushiroad Inc.,Frontwing,2849960,26.99094641541215
The Brew Barons,2024-03-01,14325,21.99,256071.0,13.184460733075102,0,Indie,Lifetap Studios,Lifetap Studios,1636710,17.875811518324607
Contain,2024-01-16,12768,13.99,255512.0,2.503693650275288,60,Indie,SinginGiant,SinginGiant,2186700,20.011904761904763
Brothers: A Tale of Two Sons Remake,2024-02-28,21858,19.99,255441.0,2.3648222677036745,68,AA,505 Games,Avantgarden SRL,2153350,11.686384847653033
Voice Love on Air,2024-03-27,10136,29.99,254966.0,11.2397919153104,90,Indie,SOFTSTAR ENTERTAINMENT,"SOFTSTAR ENTERTAINMENT,Noisy Fish",2321120,25.154498816101025
Great Houses of Calderia,2024-05-02,14675,24.99,253627.0,8.063675087275312,78,Indie,Firesquid,Resistance Games,1812910,17.282930153321978
King Arthur: Legion IX,2024-05-09,15238,19.99,252953.0,12.391322087258976,71,Indie,NeocoreGames,NeocoreGames,2739830,16.60014437590235
SENTRY,2024-03-25,15063,19.99,251556.0,6.484102923591283,85,Indie,Fireblade Software,Fireblade Software,1252680,16.700258912567218
Nexus 5X,2024-04-18,19791,14.99,250950.0,20.865414536197893,95,Indie,Paradox Arc,Whatboy Games,1983990,12.680006063362134
AutoForge,2024-03-27,14728,19.99,249767.0,13.221277300296627,89,Indie,Siege Games,Siege Games,1960480,16.958650190114067
Magic Pussy: Chapter 2,2024-01-13,36601,9.99,249274.0,2.612123877243422,75,Indie,Taboo Tales 💘,Taboo Tales 💘,2512190,6.810578945930439
Tennis Manager 2024,2024-05-23,7878,39.99,248804.0,10.221171029632243,83,Indie,Rebound CG,Rebound CG,2870110,31.58212744351358
Lifeform Zero,2024-02-22,36772,7.99,243845.0,1.1870703784703778,83,Indie,"Mango Party,Mango Party News",Sins of Succubus,1848270,6.631268356358099
